nome,data_verificacao,colisao_encontrada,nivel_risco,detalhes,fontes
Oriva,2026-07-31,sim,alto,"Colisão direta de setor: Oriva Life Sciences (farmacêutica indiana) e app 'Oriva' de mindfulness/bem-estar já publicado na App Store. Sobreposição direta com saúde e bem-estar.","indiamart.com/oriva-lifesciences; apps.apple.com/us/app/oriva/id6757975220"
Draumis,2026-07-31,nao,baixo,"Nenhuma empresa, app ou marca relevante encontrada com o nome exato 'Draumis'. Resultados retornados são de nomes apenas foneticamente próximos e não relacionados.","busca Google sem correspondência direta"
Ravora,2026-07-31,sim,medio,"'Ravora Apps' (estúdio criativo/dev na Índia, registrado em dez/2025) e 'Ravora AI'/'Ravora Ventures' já usam o nome ativamente no setor de tecnologia, embora sejam empresas pequenas/recentes.","ravoraapps.tech; ravora.ai; tracxn.com/d/legal-entities/india/ravora-apps"
Darava,2026-07-31,sim,medio,"Diversas empresas pequenas de consultoria/tecnologia usam 'Darava' (Darava Consulting Ltd - Escócia, Darava LLC - EUA, darava.co.uk - consultoria fracionada fintech/SaaS). Nenhuma no setor de saúde diretamente.","darava.co.uk; find-and-update.company-information.service.gov.uk/company/SC787846"
Nuvara,2026-07-31,sim,alto,"Colisão direta e crítica: Nuvara é empresa de dispositivos médicos hospitalares estabelecida (evolução de empresa de 60 anos), com produtos ativos de gestão de emergência e inventário hospitalar.","nuvara.com; cbinsights.com/company/nuvara"
Kelara,2026-07-31,sim,medio,"'Kelara Shoes' (marca de calçados) e 'Kelara LLC' (consultoria) usam o nome ativamente, mas em setores não relacionados à saúde.","crunchbase.com/organization/kelara-shoes; kelaraconsultants.com"
Solvara,2026-07-31,sim,medio,"Múltiplos usos ativos: 'Solvara Tech' (IA/desenvolvimento), app 'Solvara' de journaling/reflexão (adjacente a bem-estar mental), 'Solvara Limited' (UK). Setor de tecnologia geral com alguma proximidade a bem-estar.","solvaratech.com; apps.apple.com/au/app/solvara/id6761028492"
Belora,2026-07-31,sim,medio,"'Belora Cosmetics' é marca de cosméticos financiada (US$3.57M captados), certificada MADE SAFE, com presença na Europa e Ásia. Setor de beleza, não saúde diretamente, mas marca de consumo relevante.","zoominfo.com/c/belora-cosmetics; crunchbase.com/organization/belora-cosmetics"
Torcis,2026-07-31,nao,baixo,"Nenhuma empresa, app ou marca ativa encontrada com o nome exato 'Torcis'. Único resultado relevante é referência a sobrenome/brasão de família.","houseofnames.com/torcis-family-crest"
Sorenta,2026-07-31,sim,medio,"'Sorenta Compare' (comparador financeiro B2B no Reino Unido) e 'Sorenta Labs' (token cripto/IA) usam o nome ativamente, em setores não relacionados a saúde.","sorentacompare.com; dnb.com/business-directory/company-profiles.sorenta"
Solvenne,2026-07-31,nao,baixo,"Nenhuma correspondência exata encontrada. Existe empresa de grafia próxima 'Solvenna' (consultoria de dados nos EUA), foneticamente parecida mas não idêntica — risco baixo, vale checar registro de marca antes de decisão final.","crunchbase.com/organization/solvenna"
Thallora,2026-07-31,sim,medio,"'Thallora.com' é serviço ativo de marketing que conecta empresas a estudantes ('torne-se Thallorian'). Colisão exata de nome, porém negócio pequeno/nicho e fora do setor de saúde.","thallora.com"
Ljosa,2026-07-31,sim,baixo,"'Ljosa.com' é pequena empresa do setor de cinemas (5-9 funcionários) e também sobrenome de pessoa (Vebjorn Ljosa). Presença mínima, setor não relacionado, risco baixo.","zoominfo.com/c/ljosacom; linkedin.com/in/ljosa"
Heimora,2026-07-31,sim,alto,"'Heimora' é plataforma ativa de tecnologia imobiliária/fintech na Suíça (heimora.ch), com proposta de compra compartilhada de imóveis. Marca de consumo real e ativa, ainda que fora do setor de saúde.","heimora.ch"
Ardis,2026-07-31,sim,alto,"Colisão direta e crítica: 'Ardis Health' (empresa de saúde digital, Nova York), 'ARDiS Medical' (startup de diagnóstico de saúde pélvica) e 'ARDI App' (app de saúde/seguros) — múltiplas colisões diretas no setor de saúde.","linkedin.com/company/ardis-health; galilofek.com/ardis-medical; apps.apple.com/us/app/ardi-app/id6742507228"
Vaelis,2026-07-31,sim,medio,"'Vaelis IT' (serviços gerenciados de TI, Austrália), 'Vaelis B.V.' (consultoria holandesa) e app 'Vaelis' (vídeo com IA) usam o nome ativamente em tecnologia geral.","clutch.co/profile/vaelis-it-0; apps.apple.com/us/app/vaelis-ai-video-cinematic/id6781151948"
Ghelan,2026-07-31,nao,baixo,"Nenhuma empresa, app ou marca ativa encontrada com o nome exato 'Ghelan'. Resultado mais próximo (Ghelamco) é foneticamente distinto e de outro setor (imobiliário belga).","busca Google sem correspondência direta"
Kreova,2026-07-31,sim,alto,"'Kreova Tech LLC' é desenvolvedora de apps ativa desde 2013 com apps de grande escala (5M+ instalações), além de 'Kreova' plataforma de IA criativa e agência de web design. Nome saturado em tecnologia.","kreovatech.com; kreova.co; play.google.com/store/apps/developer?id=KREOVA+TECH+LLC"
Verano,2026-07-31,sim,alto,"Colisão direta e crítica: 'Verano Health' é plataforma de saúde digital (telessaúde para diabetes/doenças crônicas), financiada pela Y Combinator e adquirida pela CareMessage — concorrente direto do setor. Some-se o risco de falso cognato ('verano'=verão em espanhol).","ycombinator.com/companies/verano-health; crunchbase.com/organization/verano-health"
