nome,molde,silabas,com_status,combr_status,alerta_pronuncia,data_checagem,inpi_conferir_manual,handle_conferir_manual
meifed,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
plueduc,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
flaujut,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:34:37,SIM,SIM
ploofam,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
geujap,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:34:37,SIM,SIM
blaugib,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
taepod,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
peonez,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
geatup,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
keagij,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:34:37,SIM,SIM
fleofum,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
peamaj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:34:37,SIM,SIM
roekob,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
puucuf,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
piepep,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
graegus,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
luavod,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
plougic,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
biedon,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
cleajub,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:36:29,SIM,SIM
veibuv,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
bruamur,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
faumum,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
roaged,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
treopaj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:36:29,SIM,SIM
meejoly,CVVCV_ly,3,LIVRE,LIVRE,SIM,2026-08-07T21:36:29,SIM,SIM
raegup,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
praumim,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:36:29,SIM,SIM
jiegeg,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:36:29,SIM,SIM
fruotav,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
koapor,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
floedet,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
moeles,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
kourev,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
deosap,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
roeneg,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
frairec,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
poufaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
raozaz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
reojuf,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:37:28,SIM,SIM
vroifob,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
friivic,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
ceugag,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
greasev,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:37:28,SIM,SIM
brootet,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
clautud,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
laupaz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
giikiv,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
veukid,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
roebev,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
maakem,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
vruebit,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
triipur,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
keoten,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
floonap,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
koenup,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
geafely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
baesov,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
ploimum,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
niizos,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
seozed,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
luonat,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:07,SIM,SIM
cauzat,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
kaeref,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
truedak,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
bluanoj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:38:53,SIM,SIM
niijim,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:38:53,SIM,SIM
kaobut,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
froubec,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
zoaban,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
saukan,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
freonun,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
fualen,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
luefer,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
foisip,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
leedav,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
cloizib,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
troejem,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:38:53,SIM,SIM
bruitek,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
cloupar,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
priamag,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
preupas,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
raenom,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:38:53,SIM,SIM
foerer,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
zuomas,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
ziagob,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
daajov,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:39:33,SIM,SIM
flaevac,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
biufat,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
doezez,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
gaorag,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
gruavet,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
geunib,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
pleetiz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
vriural,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
taegoc,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
pruagel,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
caisab,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
ruakis,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
roisuz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
proutic,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
viugar,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
briupus,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
liacid,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
treunop,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
vriumik,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:39:33,SIM,SIM
bluivov,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
duebas,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
vroarep,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
bruedop,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
cluitec,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
luitak,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
fliiler,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
freibur,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
peomib,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
tierat,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
vaijog,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:40:52,SIM,SIM
bluubuj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:40:52,SIM,SIM
bluicab,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
louzoj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:40:52,SIM,SIM
fleezoj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:40:52,SIM,SIM
jaabak,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:40:52,SIM,SIM
zuezov,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
diugiz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:40:52,SIM,SIM
baabac,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:02:51,SIM,SIM
baabaf,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:02:51,SIM,SIM
baabaj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-08T12:02:51,SIM,SIM
baabap,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:02:51,SIM,SIM
baabeg,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:02:51,SIM,SIM
baabej,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-08T12:02:51,SIM,SIM
baabem,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:02:51,SIM,SIM
baabev,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabib,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabic,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabid,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabif,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabig,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabip,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabiv,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabiz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabob,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baaboc,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:03:41,SIM,SIM
baabof,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabog,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baaboj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-08T12:04:20,SIM,SIM
baabok,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabom,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabop,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabot,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabov,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baaboz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabub,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabun,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabup,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:04:20,SIM,SIM
baabut,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baabuv,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baabuz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacac,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacaf,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacag,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacat,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacav,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacaz,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baaceb,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacec,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baaced,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baacef,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:06:02,SIM,SIM
baaceg,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacej,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-08T12:07:41,SIM,SIM
baacek,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacel,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacem,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacen,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacep,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacer,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baaces,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacet,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacev,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacez,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacib,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacic,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacid,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacif,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacig,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacij,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-08T12:07:41,SIM,SIM
baacim,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacin,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacip,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baacir,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-08T12:07:41,SIM,SIM
baabaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baabely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baabily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baaboly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baabuly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baacaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baacely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baacily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baacoly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baaculy,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baadaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baadely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baadily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baadoly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baaduly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baafaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baafely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:24:13,SIM,SIM
baajaly,CVVCV_ly,3,LIVRE,LIVRE,SIM,2026-08-08T21:25:28,SIM,SIM
baajely,CVVCV_ly,3,LIVRE,LIVRE,SIM,2026-08-08T21:25:28,SIM,SIM
baajily,CVVCV_ly,3,LIVRE,LIVRE,SIM,2026-08-08T21:25:28,SIM,SIM
baajoly,CVVCV_ly,3,LIVRE,LIVRE,SIM,2026-08-08T21:25:28,SIM,SIM
baajuly,CVVCV_ly,3,LIVRE,LIVRE,SIM,2026-08-08T21:25:28,SIM,SIM
baakaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baakely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baakily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baakoly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baakuly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baalaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baalely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baalily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baaloly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baaluly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baamely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baamily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baamoly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baamuly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baanaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baanely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baanily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baanoly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baanuly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baapaly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:25:28,SIM,SIM
baapely,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:26:57,SIM,SIM
baapily,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:26:57,SIM,SIM
baapoly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:26:57,SIM,SIM
baapuly,CVVCV_ly,3,LIVRE,LIVRE,NAO,2026-08-08T21:26:57,SIM,SIM
