nome,metodo,silabas,origem_referencia,observacao
Duravia,raiz_latina,3,"latim 'durare' + 'via'",jornada duradoura
Viaxis,raiz_latina,3,"latim 'via' = caminho",caminho/trajetoria
Viora,raiz_latina,3,"latim 'via'",variante suave
Novexa,raiz_latina,3,"latim 'novus'",inovacao
Merisa,proto_indo_europeu,3,"PIE *mer- = brilhar/lembrar (raiz de 'memoria')",memoria/dados
Meridis,proto_indo_europeu,3,"PIE *(s)mer-",memoria
Kelara,proto_indo_europeu,3,"PIE *kel- = elevar/crescer",crescimento
Keloris,proto_indo_europeu,3,"PIE *kel-",variante
Verano,proto_indo_europeu,3,"PIE *wes-r- = primavera/renovacao",renovacao sazonal
Verasa,proto_indo_europeu,3,"PIE *wes-r-",variante
Genthora,proto_indo_europeu,3,"PIE *genh- = nascer/gerar",nascimento/geracoes
Dyeva,proto_indo_europeu,2,"PIE *dyeu- = brilhar/ceu diurno",luz/dia
Dyevora,proto_indo_europeu,3,"PIE *dyeu-",variante
Bhelora,proto_indo_europeu,3,"PIE *bhel- = brilhar",clareza
Belora,proto_indo_europeu,3,"PIE *bhel- (simplificado)",clareza (grafia simples)
Ghelan,proto_indo_europeu,2,"PIE *ghel- = brilhar/dourado",premium/brilho
Ghelara,proto_indo_europeu,3,"PIE *ghel-",variante
Kreova,proto_indo_europeu,3,"PIE *ker- = crescer",crescimento
Kreoris,proto_indo_europeu,3,"PIE *ker-",variante
Trebora,proto_indo_europeu,3,"PIE *treb- = habitacao/lar",base pessoal
Menora,proto_indo_europeu,3,"PIE *men- = pensar/mente",cognicao
Menthis,proto_indo_europeu,2,"PIE *men-",curto
Pleova,proto_indo_europeu,3,"PIE *pele- = encher/abundancia",plenitude
Oriwen,proto_indo_europeu,2,"PIE *h3er- = mover-se/erguer",origem/nascer
Oriva,proto_indo_europeu,3,"PIE *h3er-",variante
Dheora,proto_indo_europeu,3,"PIE *dhe- = colocar/estabelecer",fundacao
Nemora,proto_indo_europeu,3,"PIE *nem- = distribuir/atribuir",organizacao de dados
Yugara,proto_indo_europeu,3,"PIE *yeug- = unir (origem de 'jugo/join')",conexao entre dados
Alvara,raiz_nordica,3,"nordico antigo 'alfr' = ser luminoso",clareza/energia
Alvenn,raiz_nordica,2,"nordico antigo 'alfr'",curto
Draumis,raiz_nordica,2,"nordico antigo 'draumr' = sonho",aspiracao
Drauma,raiz_nordica,2,"nordico antigo 'draumr'",variante
Runava,raiz_nordica,3,"nordico antigo 'run' = saber secreto/simbolo",inteligencia de dados
Runora,raiz_nordica,3,"nordico antigo 'run'",variante
Vakora,raiz_nordica,3,"nordico antigo 'vaka' = vigilia/atencao",atencao preventiva
Vakenn,raiz_nordica,2,"nordico antigo 'vaka'",curto
Eldora,raiz_nordica,3,"nordico antigo 'eldr' = fogo",energia vital
Eldenn,raiz_nordica,2,"nordico antigo 'eldr'",curto
Ljosa,raiz_nordica,2,"nordico antigo 'ljos' = luz",clareza
Ljosora,raiz_nordica,3,"nordico antigo 'ljos'",variante
Aldora,raiz_nordica,3,"nordico antigo 'aldr'",variante mais segura
Aldenn,raiz_nordica,2,"nordico antigo 'aldr'",curto
Bylora,raiz_nordica,3,"nordico antigo 'bylgja' simplificado",ritmo
Ravenn,raiz_nordica,2,"nordico antigo 'hrafn' = corvo (sabedoria)",inteligencia/memoria
Ravora,raiz_nordica,3,"nordico antigo 'hrafn'",variante
Heimora,raiz_nordica,3,"nordico antigo 'heimr' = mundo/lar",pertencimento global
Heimen,raiz_nordica,2,"nordico antigo 'heimr'",curto
Solvinn,raiz_nordica,2,"nordico antigo 'sol' + 'vinr' = amigo do sol",energia/companhia
Vindora,raiz_nordica,3,"nordico antigo 'vindr' = vento",leveza/movimento
Frodra,raiz_nordica,2,"nordico antigo 'frodr' = sabio",sabedoria
Frodena,raiz_nordica,3,"nordico antigo 'frodr'",variante
Ylvora,raiz_nordica,3,"nordico antigo (inspirado em 'ylgr')",forca discreta
Sagora,raiz_nordica,3,"nordico antigo 'saga'",variante mais distinta
Darava,raiz_celta,3,"gaelico 'dair' = carvalho (forca/longevidade)",forca/longevidade simbolica
Darenn,raiz_celta,2,"gaelico 'dair'",curto
Kaelis,raiz_celta,2,"gaelico 'caol' = esbelto/moderno",modernidade
Kaelora,raiz_celta,3,"gaelico 'caol'",variante
Branora,raiz_celta,3,"gaelico/gales 'bran' = corvo (sabedoria/jornada)",jornada/sabedoria
Branix,raiz_celta,2,"gaelico 'bran'",curto tech
Torcana,raiz_celta,3,"celta 'torc' = adorno de forca/status",forca/potencia
Torcis,raiz_celta,2,"celta 'torc'",curto
Fionara,raiz_celta,3,"gaelico 'fionn' = claro/sabio (mito de crescimento)",crescimento e sabedoria
Fionis,raiz_celta,2,"gaelico 'fionn'",curto
Glenora,raiz_celta,3,"gaelico 'gleann' = vale",equilibrio/natureza
Glenis,raiz_celta,2,"gaelico 'gleann'",curto
Arnova,raiz_celta,3,"celta 'arn-' (metal/forca) + 'novus' hibrido",resiliencia moderna
Kerava,raiz_celta,3,"gales 'caru' = amar/cuidar (sem usar 'care')",conexao humana
Kerenn,raiz_celta,2,"gales 'caru'",curto
Ogmara,raiz_celta,3,"celta 'ogma' = deus da eloquencia/conhecimento",conhecimento/comunicacao
Ogmis,raiz_celta,2,"celta 'ogma'",curto
Nevara,raiz_celta,3,"celta 'nemeton' = lugar sagrado/centro",centro de dados pessoal
Nevis,raiz_celta,2,"celta (curto, evocando 'Ben Nevis')",altura/pico pessoal
Rionna,raiz_celta,3,"irlandes 'rion' = rainha/realeza",premium
Riolis,raiz_celta,2,"irlandes 'rion'",curto
Cathora,raiz_celta,3,"gaelico 'cath' = batalha (resiliencia)",resiliencia
Lugara,raiz_celta,3,"celta 'lugh' = deus multifacetado/habilidoso",versatilidade
Lugis,raiz_celta,2,"celta 'lugh'",curto
Zynthar,fonetica_moderna,2,"invencao fonetica pura",som tech/premium
Vireon,fonetica_moderna,3,"invencao fonetica",som fluido
Velora,fonetica_moderna,3,"invencao fonetica",som premium
Nuvara,fonetica_moderna,3,"invencao fonetica",som suave
Kyvora,fonetica_moderna,3,"invencao fonetica",som tech
Omnexa,fonetica_moderna,3,"invencao fonetica (evoca 'omni')",abrangencia
Solenne,fonetica_moderna,3,"invencao fonetica (evoca 'solene/sol')",confianca
Ambrix,fonetica_moderna,2,"invencao fonetica",tech curto
Corvale,fonetica_moderna,3,"invencao fonetica",solidez
Trellis,ingles_metaforico,2,"palavra real em ingles = treliça, estrutura de apoio ao crescimento",metafora de suporte ao crescimento
Zephira,fonetica_moderna,3,"invencao fonetica (evoca 'zefiro')",leveza
Auren,fonetica_moderna,2,"invencao fonetica (evoca 'aurum'=ouro)",premium
Aurenn,fonetica_moderna,2,"variante grafica de Auren",premium
Kindrel,fonetica_moderna,2,"invencao (evoca 'kindred'=parentesco)",familia/geracoes
Halvora,fonetica_moderna,3,"invencao fonetica",equilibrio
Norwyn,fonetica_moderna,2,"invencao fonetica",moderno
Thallis,fonetica_moderna,2,"invencao (raiz thallo simplificada)",crescimento
Ithara,fonetica_moderna,3,"invencao fonetica",jornada
Kelvora,fonetica_moderna,3,"invencao fonetica",energia
Vantris,fonetica_moderna,2,"invencao fonetica",tech
Orvana,fonetica_moderna,3,"invencao fonetica",organico premium
Elyra,fonetica_moderna,2,"invencao fonetica (evoca lira/harmonia)",harmonia de dados
Sorenta,fonetica_moderna,3,"invencao fonetica",confianca
Talvora,fonetica_moderna,3,"invencao fonetica",solidez
Kestra,fonetica_moderna,2,"invencao (evoca 'kestrel'=falcao)",precisao/visao aguçada
Falcora,fonetica_moderna,3,"invencao (evoca falcao)",precisao/visao
Zentra,fonetica_moderna,2,"invencao fonetica",clareza
Vaelis,fonetica_moderna,2,"invencao fonetica",suavidade
Orvane,fonetica_moderna,2,"invencao fonetica",natural premium
Lucenta,fonetica_moderna,3,"invencao (evoca 'luz')",clareza
Serevo,fonetica_moderna,3,"invencao fonetica",serenidade
Ambara,fonetica_moderna,3,"invencao fonetica (evoca ambar)",preciosidade/preservacao
Norivia,fonetica_moderna,4,"invencao fonetica",jornada ampla
Kairavo,fonetica_moderna,3,"invencao (raiz kairos)",momento certo
Thurin,fonetica_moderna,2,"invencao fonetica",solidez
Velthos,fonetica_moderna,2,"invencao fonetica",tech
Yveron,fonetica_moderna,3,"invencao fonetica",moderno
Aldris,fonetica_moderna,2,"invencao fonetica",tech
Corvenn,fonetica_moderna,2,"invencao fonetica",solidez
Nirava,fonetica_moderna,3,"invencao fonetica",clareza
Perova,fonetica_moderna,3,"invencao fonetica",constancia
Sathera,fonetica_moderna,3,"invencao fonetica",amplitude
Wenlora,fonetica_moderna,3,"invencao fonetica",suave premium
Xantera,fonetica_moderna,3,"invencao fonetica",vibrante
Yonara,fonetica_moderna,3,"invencao fonetica",acolhedor
Zorvane,fonetica_moderna,3,"invencao fonetica",tech premium
Brenova,blend_fonemas,3,"blend de 'brilho' + 'nova'",clareza + novidade
Tempora,blend_fonemas,3,"blend 'tempo' + sufixo -ora",tempo/ritmo pessoal
Mentavi,blend_fonemas,3,"blend 'mente' + 'avi' (aviacao/elevacao)",cognicao + elevacao
Sonhara,blend_fonemas,3,"blend 'sonho' + sufixo -ara",aspiracao
Ritmora,blend_fonemas,3,"blend 'ritmo' + sufixo -ora",ritmo de vida
Fluxara,blend_fonemas,3,"blend 'fluxo' + sufixo -ara",fluxo continuo de dados
Passora,blend_fonemas,3,"blend 'passo' + sufixo -ora",jornada passo a passo
Trilhava,blend_fonemas,3,"blend 'trilha' + sufixo",jornada/trilha de vida
Orbita,blend_fonemas,3,"blend 'orbita' (portugues/latim)",trajetoria continua
Orbitea,blend_fonemas,4,"blend 'orbita' + sufixo",variante
Ecoara,blend_fonemas,3,"blend 'eco' (ecoar) + sufixo",ressonancia pessoal
Alenta,blend_fonemas,3,"blend 'alento' (folego) + sufixo",energia vital sutil
Alentix,blend_fonemas,3,"blend 'alento' + sufixo tech",energia + tecnologia
Raizora,blend_fonemas,3,"blend 'raiz' + sufixo -ora",fundamento/origem
Cresora,blend_fonemas,3,"blend 'crescer' + sufixo -ora",crescimento continuo
Cresenta,blend_fonemas,3,"blend 'crescente' encurtado",crescimento
Renovix,blend_fonemas,3,"blend 'renovar' + sufixo tech",renovacao continua
Rumora,blend_fonemas,3,"blend 'rumo' (direcao) + sufixo",direcao/proposito
Elovia,blend_fonemas,3,"blend 'elo' (conexao) + 'via'",conexao ao longo da jornada
Elonix,blend_fonemas,3,"blend 'elo' + sufixo tech",conexao tech
Trajena,blend_fonemas,3,"blend 'trajeto' + sufixo",trajetoria pessoal
Ondavia,blend_fonemas,3,"blend 'onda' + 'via'",ritmo/ciclos + jornada
Marejo,blend_fonemas,3,"blend 'mare' (mar) + sufixo",amplitude/profundidade
Kavora,combinacao_estatistica,3,"padrao silabico CV-CV-CV estatisticamente comum em marcas premium",neutro/abstrato
Tovira,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Nelora,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Pyvora,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Zavion,combinacao_estatistica,3,"padrao CV-CV-VC",neutro/abstrato
Milara,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Dovena,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Ruvexa,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Talvin,combinacao_estatistica,2,"padrao CVC-CVC",curto/tech
Belvon,combinacao_estatistica,2,"padrao CVC-CVC",curto/tech
Rionex,combinacao_estatistica,3,"padrao CV-CV-CVC",tech
Kelvyn,combinacao_estatistica,2,"padrao CVC-CVC",curto/tech
Winova,combinacao_estatistica,3,"padrao CV-CV-CV (evoca 'win'+'nova')",vitoria/novidade
Xelora,combinacao_estatistica,3,"padrao CV-CV-CV",tech premium
Alviro,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Torvex,combinacao_estatistica,2,"padrao CVC-CVC",tech curto
Bravira,combinacao_estatistica,3,"padrao CV-CV-CV (evoca 'bravo')",coragem/confianca
Lucrana,combinacao_estatistica,3,"padrao CV-CV-CV",premium
Sylvora,combinacao_estatistica,3,"padrao CV-CV-CV (evoca 'silva'=floresta)",natureza/crescimento
Kaevon,combinacao_estatistica,2,"padrao CVC-CVC",tech curto
Rovanti,combinacao_estatistica,3,"padrao CV-CV-CV",premium
Talenza,combinacao_estatistica,3,"padrao CV-CV-CV (evoca 'talento')",potencial pessoal
Firmora,raiz_latina,3,"latim 'firmus' = firme",estabilidade
Firmis,raiz_latina,2,"latim 'firmus'",curto
Constara,raiz_latina,3,"latim 'constare' = manter-se firme",consistencia
Vialis,raiz_latina,3,"latim 'via' + sufixo -alis",jornada formal
Serana,raiz_latina,3,"latim 'serenus' = sereno",serenidade
Serenis,raiz_latina,3,"latim 'serenus'",variante
Amplis,raiz_latina,2,"latim 'amplus'",amplitude curta
Birkenn,raiz_nordica,2,"nordico antigo 'bjork' = betula (resiliencia/crescimento)",resiliencia natural
Skaldis,raiz_nordica,2,"nordico antigo 'skald' = narrador/poeta",narrativa da propria historia
Skaldora,raiz_nordica,3,"nordico antigo 'skald'",variante
Hallora,raiz_nordica,3,"nordico antigo 'hallr' = pedra/rocha",estabilidade
Stenora,raiz_nordica,3,"nordico antigo 'steinn' = pedra",solidez
Ardara,raiz_celta,3,"gaelico 'ard' = alto/elevado",elevacao pessoal
Ardis,raiz_celta,2,"gaelico 'ard'",curto
Bricara,raiz_celta,3,"celta 'briga' = forca/fortaleza",forca
Tavara,raiz_celta,3,"celta (som suave, sem significado direto forte)",neutro premium
Velantis,fonetica_moderna,3,"invencao fonetica",premium tech
Norielle,fonetica_moderna,3,"invencao fonetica",elegante
Kalvenne,fonetica_moderna,3,"invencao fonetica",moderno
Talvira,fonetica_moderna,3,"invencao fonetica",solidez
Yorelle,fonetica_moderna,3,"invencao fonetica",leve/premium
Senvora,fonetica_moderna,3,"invencao fonetica",neutro premium
Passavia,blend_fonemas,4,"blend 'passagem' + 'via'",jornada passo a passo
Ecovira,blend_fonemas,3,"blend 'eco' + 'via'",ressonancia + jornada
Horavia,blend_fonemas,4,"blend 'hora' (tempo) + 'via'",tempo + caminho
Ciclara,blend_fonemas,3,"blend 'ciclo' + sufixo -ara",ciclos de vida
Elomora,blend_fonemas,3,"blend 'elo' (conexao) + sufixo -mora",conexao continua
Denvara,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Kestova,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Sovira,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Pentara,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Solvenne,ingles_metaforico,3,"evoca 'solve' em ingles = resolver",solucao de problemas de saude
