nome,metodo,silabas,origem_referencia,observacao
Vakora,raiz_nordica,3,"nordico antigo 'vaka' = vigilia/atencao",atencao preventiva
Vakenn,raiz_nordica,2,"nordico antigo 'vaka'",curto
Eldora,raiz_nordica,3,"nordico antigo 'eldr' = fogo",energia vital
Eldenn,raiz_nordica,2,"nordico antigo 'eldr'",curto
Aldora,raiz_nordica,3,"nordico antigo 'aldr'",variante mais segura
Aldenn,raiz_nordica,2,"nordico antigo 'aldr'",curto
Bylora,raiz_nordica,3,"nordico antigo 'bylgja' simplificado",ritmo
Ravenn,raiz_nordica,2,"nordico antigo 'hrafn' = corvo (sabedoria)",inteligencia/memoria
Ravora,raiz_nordica,3,"nordico antigo 'hrafn'",variante
Heimen,raiz_nordica,2,"nordico antigo 'heimr'",curto
Frodra,raiz_nordica,2,"nordico antigo 'frodr' = sabio",sabedoria
Ylvora,raiz_nordica,3,"nordico antigo (inspirado em 'ylgr')",forca discreta
Sagora,raiz_nordica,3,"nordico antigo 'saga'",variante mais distinta
Darava,raiz_celta,3,"gaelico 'dair' = carvalho (forca/longevidade)",forca/longevidade simbolica
Darenn,raiz_celta,2,"gaelico 'dair'",curto
Kaelis,raiz_celta,2,"gaelico 'caol' = esbelto/moderno",modernidade
Branix,raiz_celta,2,"gaelico 'bran'",curto tech
Torcis,raiz_celta,2,"celta 'torc'",curto
Fionis,raiz_celta,2,"gaelico 'fionn'",curto
Glenis,raiz_celta,2,"gaelico 'gleann'",curto
Arnova,raiz_celta,3,"celta 'arn-' (metal/forca) + 'novus' hibrido",resiliencia moderna
Kerava,raiz_celta,3,"gales 'caru' = amar/cuidar (sem usar 'care')",conexao humana
Kerenn,raiz_celta,2,"gales 'caru'",curto
Ogmara,raiz_celta,3,"celta 'ogma' = deus da eloquencia/conhecimento",conhecimento/comunicacao
Nevara,raiz_celta,3,"celta 'nemeton' = lugar sagrado/centro",centro de dados pessoal
Rionna,raiz_celta,3,"irlandes 'rion' = rainha/realeza",premium
Riolis,raiz_celta,2,"irlandes 'rion'",curto
Lugara,raiz_celta,3,"celta 'lugh' = deus multifacetado/habilidoso",versatilidade
Vireon,fonetica_moderna,3,"invencao fonetica",som fluido
Velora,fonetica_moderna,3,"invencao fonetica",som premium
Nuvara,fonetica_moderna,3,"invencao fonetica",som suave
Kyvora,fonetica_moderna,3,"invencao fonetica",som tech
Omnexa,fonetica_moderna,3,"invencao fonetica (evoca 'omni')",abrangencia
Ambrix,fonetica_moderna,2,"invencao fonetica",tech curto
Aurenn,fonetica_moderna,2,"variante grafica de Auren",premium
Norwyn,fonetica_moderna,2,"invencao fonetica",moderno
Ithara,fonetica_moderna,3,"invencao fonetica",jornada
Orvana,fonetica_moderna,3,"invencao fonetica",organico premium
Kestra,fonetica_moderna,2,"invencao (evoca 'kestrel'=falcao)",precisao/visao aguçada
Zentra,fonetica_moderna,2,"invencao fonetica",clareza
Vaelis,fonetica_moderna,2,"invencao fonetica",suavidade
Orvane,fonetica_moderna,2,"invencao fonetica",natural premium
Serevo,fonetica_moderna,3,"invencao fonetica",serenidade
Ambara,fonetica_moderna,3,"invencao fonetica (evoca ambar)",preciosidade/preservacao
Thurin,fonetica_moderna,2,"invencao fonetica",solidez
Yveron,fonetica_moderna,3,"invencao fonetica",moderno
Aldris,fonetica_moderna,2,"invencao fonetica",tech
Nirava,fonetica_moderna,3,"invencao fonetica",clareza
Perova,fonetica_moderna,3,"invencao fonetica",constancia
Yonara,fonetica_moderna,3,"invencao fonetica",acolhedor
Orbita,blend_fonemas,3,"blend 'orbita' (portugues/latim)",trajetoria continua
Ecoara,blend_fonemas,3,"blend 'eco' (ecoar) + sufixo",ressonancia pessoal
Alenta,blend_fonemas,3,"blend 'alento' (folego) + sufixo",energia vital sutil
Rumora,blend_fonemas,3,"blend 'rumo' (direcao) + sufixo",direcao/proposito
Elovia,blend_fonemas,3,"blend 'elo' (conexao) + 'via'",conexao ao longo da jornada
Elonix,blend_fonemas,3,"blend 'elo' + sufixo tech",conexao tech
Marejo,blend_fonemas,3,"blend 'mare' (mar) + sufixo",amplitude/profundidade
Kavora,combinacao_estatistica,3,"padrao silabico CV-CV-CV estatisticamente comum em marcas premium",neutro/abstrato
Tovira,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Nelora,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Pyvora,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Zavion,combinacao_estatistica,3,"padrao CV-CV-VC",neutro/abstrato
Milara,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Dovena,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Ruvexa,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Talvin,combinacao_estatistica,2,"padrao CVC-CVC",curto/tech
Belvon,combinacao_estatistica,2,"padrao CVC-CVC",curto/tech
Rionex,combinacao_estatistica,3,"padrao CV-CV-CVC",tech
Kelvyn,combinacao_estatistica,2,"padrao CVC-CVC",curto/tech
Winova,combinacao_estatistica,3,"padrao CV-CV-CV (evoca 'win'+'nova')",vitoria/novidade
Xelora,combinacao_estatistica,3,"padrao CV-CV-CV",tech premium
Alviro,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
Torvex,combinacao_estatistica,2,"padrao CVC-CVC",tech curto
Kaevon,combinacao_estatistica,2,"padrao CVC-CVC",tech curto
Firmis,raiz_latina,2,"latim 'firmus'",curto
Vialis,raiz_latina,3,"latim 'via' + sufixo -alis",jornada formal
Serana,raiz_latina,3,"latim 'serenus' = sereno",serenidade
Amplis,raiz_latina,2,"latim 'amplus'",amplitude curta
Ardara,raiz_celta,3,"gaelico 'ard' = alto/elevado",elevacao pessoal
Tavara,raiz_celta,3,"celta (som suave, sem significado direto forte)",neutro premium
Sovira,combinacao_estatistica,3,"padrao CV-CV-CV",neutro/abstrato
